#{"t_start": 1701645600.674475, "env_id": null}
r,l,t
-1139.35,1490,0.354642
-2211.68,2549,0.893787
-3100.92,3410,1.521227
-1254.64,1621,1.881082
-2091.17,2388,2.351857
-2436.66,2744,2.882312
-3254.6,3571,3.539318
-1911.58,2221,3.98497
-2826.12,3161,4.580076
-1879.36,2179,5.020412
-1409.58,1772,5.401535
-1691.79,2017,5.820912
-1307.81,1645,7.098856
-2230.3,2517,7.598108
-1584.75,1868,7.996538
-757.76,1047,8.270192
-1824.83,2217,8.725105
-1481.2,1772,9.110836
-1002.5,1329,9.428885
-2013.34,2313,9.894986
-1407.76,1708,10.273548
-977.62,1297,10.586071
-1593.53,1873,10.986429
-5730.91,5980,53.637397
-8574.32,8840,124.919358
-5883.5,6152,174.833674
-8693.78,8980,247.951703
-9324.52,9640,325.927384
-11443.4,11728,420.861501
-13421.74,13676,531.179276
-9699.96,9950,611.636529
-13385.06,13706,722.612109
-11580.98,11876,818.572893
-26710.01,27011,1034.613206
-9054.56,9321,1109.965096
-8633.03,8948,1182.298527
-41089.09,41365,1516.510074
-17212.24,17495,1658.147739
-22781.59,23072,1844.638585
-24644.16,24924,2045.777837
-14173.19,14476,2163.043432
-28104.0,28376,2392.655834
-17116.6,17428,2533.623194
-12759.86,13068,2639.502609
-17019.86,17295,2779.406279
-10956.86,11273,2871.169232
-23522.38,23859,3065.729198
-17298.57,17577,3208.702211
-14169.37,14432,3326.8491
-26383.42,26728,3544.89919
-16999.95,17299,3687.018291
-8253.07,8516,3756.813349
-28548.77,28897,3993.149611
-17591.98,17867,4163.924795
-30230.76,30534,4510.770688
-18976.82,19292,4715.499652
-10627.65,10934,4825.577008
-29117.44,29432,5098.449071
-11831.71,12121,5197.165308
-22000.12,22305,5424.676787
-38074.27,38367,5735.146566
-19819.95,20109,5898.832082
-13387.38,13681,6010.500741
-21201.22,21476,6184.551148
-30733.52,31034,6436.327408
-14535.94,14849,6556.899672
-17253.99,17567,6699.633102
-20651.57,20942,6869.351292
-29114.3,29450,7107.664812
-26629.79,26915,7325.411749
-62631.8,62921,7834.862407
-32519.47,32816,8100.64995
-18771.86,19092,8255.019749
-22844.57,23140,8442.554026
-25558.54,25838,8651.44766
-16172.22,16502,8784.837065
-30784.35,31076,9036.428656
-21780.23,22108,9215.744475
-17252.74,17543,9357.762242
-14042.97,14369,9474.054375
-19618.57,19897,9634.814979
-24745.9,25087,9837.474177
-20393.17,20726,10005.914825
-18583.03,18903,10159.795008
-35789.03,36091,10452.177726
-37006.47,37301,10754.522273
-22284.28,22581,10937.591863
-42501.88,42805,11283.399387
-32297.98,32597,11546.754291
-26531.48,26820,11762.729406
-40598.84,40889,12093.254171
-18225.73,18515,12242.404171
-23369.64,23664,12434.740932
-32053.71,32403,12697.873489
-18578.65,18885,12851.098539
-26584.64,26915,13069.508985
-25070.94,25399,13276.42893
-27654.56,27986,13504.554104
-22722.17,23038,13692.965231
-18878.6,19153,13848.968821
-76495.43,76785,14474.251909
-29153.19,29444,14714.105326
-29716.06,29996,14957.653263
-21687.87,22049,15136.899198
-16346.45,16635,15273.256767
-78839.99,79114,15917.39673
-18275.07,18575,16067.148763
-33820.19,34091,16339.50293
-30316.07,30625,16585.519005
-29762.12,30086,16832.179794
-43780.29,44089,17235.344543
-16056.22,16380,17368.731527
-24676.19,24984,17571.847251
-34949.07,35233,17861.02467
-51849.72,52170,18452.44873
-66248.94,66569,19210.504905
-29005.22,29305,19544.504451
-18048.87,18295,19752.720523
-14004.19,14345,19916.15486
-17314.85,17647,20117.390281
-26976.38,27246,20428.149777
-17140.05,17406,20626.939222
-33144.64,33441,21002.407049
-34641.75,34934,21400.313619
-16407.82,16695,21590.39947
-13255.89,13610,21745.396561
-30569.05,30886,22096.618322
-19691.49,19978,22323.598751
-28681.03,29041,22653.810368
-27287.05,27599,22878.21005
-34081.31,34385,23155.910345
-23800.85,24084,23351.466747
-20340.27,20640,23518.741528
-67604.44,67906,24068.087315
-52796.81,53106,24500.272887
-16670.91,16957,24638.904568
-34443.4,34805,24922.868176
-30471.85,30785,25243.892635
-40899.85,41206,25620.612575
-46469.37,46770,25999.091521
-34396.3,34695,26279.702024
-32045.05,32355,26541.876266
-34550.75,34841,26823.859737
-22940.84,23246,27012.248072
-26451.84,26721,27228.990539
-59304.49,59610,27711.335727
-36005.56,36315,28004.845929
-36492.1,36778,28302.081947
-24718.44,25001,28504.747752
-44766.44,45077,28869.791171
-29275.73,29575,29110.469612
-22355.76,22659,29295.192505
-34731.42,35015,29580.267332
-27046.62,27336,29802.507608
-38294.08,38620,30116.417493
-20552.22,20828,30286.225896
-30541.54,30864,30537.319369
-23249.11,23517,30728.751495
-46021.82,46331,31106.165826
-30814.27,31076,31358.858741
-33140.38,33419,31630.294491
-34676.81,34989,31914.691146
-38856.21,39192,32233.042768
-38672.87,38990,32549.999245
-31552.54,31846,32809.675557
-45956.47,46240,33185.045846
-16219.23,16523,33318.62554
-14319.15,14616,33436.65933
-31910.12,32253,33697.870334
-34162.83,34473,33977.764613
-46777.24,47055,34361.417312
-32891.86,33216,34632.802034
-41116.26,41422,35071.759157
-32996.21,33298,35450.816854
-24243.48,24533,35676.719399
-21839.07,22159,35884.262297
