#{"t_start": 1702543938.3092763, "env_id": null}
r,l,t
-1418.19,1730,18.266611
-898.28,1184,35.418725
-2019.76,2278,63.088275
-1012.25,1416,83.120698
-487.85,820,91.558016
-1030.07,1315,109.96895
-435.99,720,117.39797
-1006.29,1373,137.489906
-669.31,959,147.625432
-369.96,707,160.555638
-861.26,1165,171.936822
-177.0,486,176.861128
-714.27,1000,191.390788
-558.59,874,199.262227
-1333.87,1604,220.735371
-620.97,918,235.966866
-209.9,500,241.264082
-478.3,743,248.371907
-168.75,446,252.995093
-127.04,414,263.768284
-262.19,535,269.634422
-170.86,433,274.396255
-157.71,432,279.320663
-355.11,617,291.536019
-140.71,383,295.516529
-541.0,824,303.546665
-159.8,439,307.342946
-257.43,481,317.807215
-380.29,680,324.808388
-170.71,459,329.63951
-115.3,405,333.444402
-411.33,712,346.304009
-92.29,409,350.612693
-105.97,411,355.029755
-320.74,592,360.867492
-256.06,528,372.532257
-140.0,383,376.63469
-32.54,353,380.535037
-449.23,774,388.611481
-607.42,893,404.274662
-104.13,378,408.385025
77.86,244,410.882017
-152.25,423,415.036377
-50.58,308,418.326039
-204.57,455,428.808512
-338.83,631,435.375285
-42.55,340,439.042138
-289.05,551,444.798272
-144.76,434,455.323532
-445.68,735,462.572732
-270.51,540,468.025252
-182.36,482,478.498353
-167.16,438,482.355064
-19.9,373,486.153404
-344.66,592,491.979006
-746.84,1104,508.589658
-83.66,360,512.229496
63.64,239,514.896873
-140.28,450,519.535596
-102.0,345,523.454026
-196.63,484,534.587584
-44.11,319,538.004682
-131.97,411,542.686604
69.08,167,544.643659
-155.62,421,549.42072
-122.91,405,560.045449
-68.31,349,563.98042
-43.67,304,567.408741
-22.05,332,571.107361
1.85,303,574.536744
-113.51,428,578.768952
5.18,251,581.460982
-52.73,333,591.636866
-740.23,1014,601.215388
-117.63,371,605.0326
69.87,189,606.79251
14.19,245,614.843385
9.24,317,618.212423
-114.36,402,622.513893
-192.89,475,627.66177
15.85,239,630.402659
-8.13,284,633.132015
-331.17,637,645.204767
75.14,259,648.00667
54.0,211,650.126394
-12.48,303,653.360451
-107.49,385,657.639519
58.65,194,659.73805
9.71,315,662.507507
28.9,212,670.61105
48.63,225,673.319018
6.68,255,676.216808
124.4,86,677.371571
41.87,199,679.608653
-29.7,283,682.837255
84.6,128,684.551595
33.37,189,686.778592
-112.55,410,691.491363
18.86,244,700.698029
-5.81,287,704.081588
37.09,242,706.953465
6.23,276,710.249282
42.87,208,712.73026
102.09,108,714.253603
65.47,218,716.794862
26.2,204,719.230851
-0.32,298,722.479873
55.98,136,730.537986
-0.43,276,733.587167
-44.31,320,736.550103
45.53,231,739.21613
-222.17,506,744.340368
16.68,251,747.062317
41.5,149,748.773583
-117.23,422,758.785134
58.49,203,761.115235
-13.39,303,764.447496
75.14,165,766.320258
25.16,274,768.74419
-41.56,340,772.576849
-72.67,340,776.06056
28.84,243,784.40114
22.77,256,787.058902
47.59,219,789.366219
83.07,108,790.64776
-9.78,300,793.895146
-2.55,268,796.884504
-29.54,303,800.039785
87.67,165,801.980624
-42.84,299,805.223569
-11.51,250,813.90217
21.82,261,816.776509
43.56,177,818.92435
-46.36,334,822.579808
98.32,175,824.698639
52.44,235,827.328212
43.2,219,829.864889
-56.32,321,833.529085
69.11,233,842.399138
-80.51,329,846.074392
36.63,209,848.624373
73.5,175,850.671517
67.79,194,852.925536
43.8,203,855.15769
-2.49,314,858.498792
90.4,149,860.269358
111.69,88,861.452605
59.73,148,863.235597
-51.24,379,873.099617
110.4,164,875.067285
64.82,157,877.089142
-60.75,335,880.780366
-107.28,385,885.194581
22.16,252,887.99464
63.46,110,889.531978
57.99,189,891.778713
79.29,167,893.834107
81.07,118,895.435547
-3.18,300,905.478994
52.51,192,907.924194
8.43,246,910.836755
73.11,158,912.71092
19.63,264,915.613817
28.41,279,918.680609
86.74,124,920.124438
57.66,263,922.955722
135.5,140,924.816854
46.64,210,932.931081
86.91,213,935.278983
132.1,176,937.407876
-14.12,263,940.221811
41.37,193,942.446915
-47.22,318,945.870394
103.81,122,947.506332
34.01,196,949.735746
72.92,179,951.811117
49.44,172,953.957975
-40.61,336,963.759695
8.4,301,966.783738
73.59,201,969.136752
42.74,230,971.867768
-90.93,384,976.182423
30.51,245,978.9762
37.36,256,982.052992
46.25,173,983.873556
51.29,214,992.759453
64.81,156,994.78776
91.78,174,996.87873
15.5,236,999.344842
47.4,198,1001.766474
62.41,147,1003.46539
98.08,150,1005.102716
108.35,117,1006.723736
39.94,176,1008.672827
94.55,153,1010.343892
70.06,133,1012.354763
82.95,118,1013.881666
80.53,160,1022.261953
44.33,197,1024.351977
132.58,135,1025.671965
37.06,212,1028.034168
113.26,117,1029.635075
71.92,126,1031.254014
60.68,181,1033.432623
82.37,94,1034.6867
72.74,199,1037.074762
82.28,138,1038.653208
83.74,149,1040.43695
5.4,288,1043.917483
26.39,226,1052.262205
61.3,223,1054.749604
109.17,227,1056.610152
64.39,179,1058.635325
11.56,303,1061.520243
85.18,172,1063.270863
34.81,208,1065.495314
56.15,179,1067.430517
85.07,85,1068.517707
-83.85,379,1072.641488
-70.76,331,1081.797858
131.07,79,1082.756173
97.28,98,1083.977592
-204.25,460,1088.849747
20.03,255,1091.913102
77.81,153,1093.7256
93.14,180,1095.69619
84.01,126,1097.243656
5.69,227,1099.778411
-52.14,385,1109.989319
34.92,181,1112.147334
76.75,167,1114.140807
35.99,270,1117.171836
-73.53,353,1121.260786
-195.62,477,1126.203561
-18.89,273,1129.297903
87.85,76,1130.338883
111.65,88,1137.511523
120.75,174,1139.45937
-121.4,404,1143.95768
-86.28,415,1148.658229
44.44,259,1151.643156
85.1,132,1153.28656
-79.97,345,1157.216969
-54.93,338,1167.401858
-561.82,877,1177.0027
42.41,249,1179.911817
71.08,195,1182.269824
-16.53,290,1185.567403
-92.79,416,1195.573366
-87.82,378,1199.529892
105.73,64,1200.359947
61.24,119,1201.735595
91.45,121,1203.175383
-54.29,335,1206.918792
60.84,173,1208.828469
58.76,129,1210.340108
-583.8,950,1226.026767
34.64,180,1228.072441
105.1,154,1229.85548
100.98,102,1231.139452
62.49,165,1233.050524
82.36,90,1234.206872
98.09,92,1235.369848
-142.39,458,1240.337265
59.82,151,1242.13255
-14.19,335,1245.886534
-123.77,440,1257.03365
111.23,92,1258.216613
-2.57,303,1261.419724
28.57,185,1263.203513
46.28,143,1264.755639
112.61,101,1266.043211
112.4,122,1267.436806
72.93,132,1268.76614
77.76,155,1270.281785
99.97,131,1271.567118
-121.88,447,1282.552239
-240.96,551,1288.17807
97.74,113,1289.628322
65.15,140,1291.373258
18.22,291,1294.597485
56.49,162,1296.535202
-21.5,262,1299.377643
168.35,118,1300.610878
-144.75,480,1311.594908
84.19,156,1313.530341
-569.04,894,1323.073903
88.68,177,1324.905725
-116.15,445,1329.122154
87.22,95,1330.283276
-5.43,277,1338.70441
76.29,138,1339.903737
82.47,135,1341.22395
98.35,138,1342.819624
22.2,194,1344.993493
83.05,106,1346.297926
71.8,143,1347.965221
12.51,205,1350.250361
102.48,94,1351.441085
85.27,123,1352.892496
105.16,126,1354.338268
76.51,87,1355.441254
68.18,140,1356.802897
87.25,72,1357.535992
52.81,170,1365.170765
18.21,256,1368.052385
61.78,117,1369.500083
102.53,90,1370.658975
39.05,172,1372.405329
73.19,117,1373.836986
97.26,91,1375.027192
204.35,107,1376.293042
-12.48,289,1379.53906
65.44,121,1381.203925
79.11,151,1383.031988
140.18,97,1384.299348
86.97,177,1386.377338
70.66,175,1388.469324
101.7,155,1396.585809
62.59,146,1398.380328
77.77,182,1400.404192
146.4,164,1402.209336
78.24,136,1403.888281
6.24,250,1406.420116
-111.21,384,1410.615723
120.75,94,1411.847069
103.14,140,1413.614703
39.91,200,1416.000677
67.6,90,1417.221615
60.79,154,1425.733203
93.27,122,1427.087166
70.43,211,1429.473581
63.07,164,1431.378342
132.11,200,1433.374
110.52,158,1435.320751
37.87,183,1437.502288
117.2,69,1438.500865
114.1,128,1440.134305
-37.89,348,1443.916331
18.21,258,1446.787019
88.64,122,1448.341982
78.29,107,1456.153896
101.22,140,1457.902582
83.98,132,1459.091688
45.22,204,1461.079355
123.27,75,1462.018127
94.82,164,1463.674147
50.07,197,1465.783824
93.91,144,1467.324775
-15.84,319,1470.535124
86.72,95,1471.705104
23.82,296,1474.834336
100.4,101,1476.056339
58.85,164,1483.620219
80.53,123,1485.055699
94.54,121,1486.467784
100.95,132,1488.010396
116.5,110,1489.367667
-110.14,451,1494.12094
128.08,102,1495.368311
66.85,161,1497.240214
65.85,184,1499.22029
101.21,113,1500.623015
34.72,327,1504.189884
-6.96,320,1513.401099
109.4,89,1514.523955
86.1,139,1516.206442
95.7,137,1517.979173
84.47,140,1519.668486
74.32,133,1521.295809
26.16,248,1524.273896
75.42,151,1526.070435
62.89,166,1528.228595
75.18,169,1530.264832
67.01,146,1532.047105
81.53,206,1534.404224
45.64,241,1542.957832
50.19,206,1545.317217
105.54,103,1546.642226
100.52,118,1548.252121
50.53,184,1550.441738
46.91,225,1552.831235
-80.67,469,1558.060454
-129.4,466,1563.194818
82.0,108,1564.621231
91.14,152,1572.934502
79.39,197,1575.310673
52.75,146,1577.207865
97.35,150,1579.048067
162.41,76,1580.05527
89.76,103,1581.367605
47.5,183,1583.563035
-119.42,451,1588.435404
47.5,165,1590.47161
-452.44,783,1604.507372
118.5,126,1605.983163
105.86,129,1607.50512
-210.8,558,1613.29466
115.67,101,1614.529693
84.38,202,1616.751454
52.89,178,1618.731131
-212.54,546,1630.136767
111.03,150,1632.113865
106.15,178,1634.15369
90.69,149,1635.483217
-20.4,345,1638.652902
77.38,118,1640.048097
110.98,138,1641.646175
109.41,77,1642.564084
120.71,106,1643.861255
82.57,136,1645.451624
94.59,113,1646.808636
-59.35,412,1651.09569
9.66,223,1659.304906
106.04,156,1661.086486
142.45,105,1662.344069
65.23,161,1664.176069
105.22,199,1666.371312
75.88,184,1668.415353
131.13,141,1670.055732
93.58,105,1671.348342
-25.2,340,1675.040704
86.67,216,1677.316394
92.15,194,1679.566676
31.24,303,1688.630266
-228.1,530,1693.544996
-60.6,412,1697.703801
-596.57,954,1713.058098
132.45,164,1714.714333
93.42,159,1716.24839
105.38,196,1718.301864
117.8,128,1720.031309
117.39,77,1721.062582
97.76,110,1722.204798
-17.57,341,1725.777292
126.47,154,1727.42593
-66.99,391,1731.658873
88.97,126,1733.163422
76.36,181,1741.263376
99.05,157,1743.109865
107.75,173,1745.106491
100.23,134,1746.63237
-67.94,449,1751.281161
-119.81,464,1756.323491
76.89,130,1757.925609
185.36,110,1759.338497
65.58,180,1761.471069
72.4,158,1763.14231
183.32,200,1771.297708
-52.32,392,1775.552523
95.95,121,1777.084408
62.6,195,1779.380874
121.48,170,1781.437182
-65.33,416,1785.939902
93.21,116,1787.43682
68.02,191,1789.571033
-322.65,692,1803.167843
28.45,278,1806.373668
85.17,140,1808.073219
109.04,111,1809.430334
99.62,152,1811.318246
59.7,178,1813.714365
107.57,129,1815.251061
74.05,187,1817.112734
80.47,189,1819.065687
102.49,105,1820.330351
83.15,168,1821.818247
85.76,112,1828.474398
184.01,111,1829.790447
27.82,301,1832.952017
-39.46,367,1836.786255
135.71,114,1838.148509
135.52,172,1840.069592
112.25,84,1841.140873
