#{"t_start": 1702543920.5373437, "env_id": null}
r,l,t
-1355.86,1667,21.920409
-1546.84,1871,46.000031
-903.25,1190,63.455468
-889.57,1174,75.471725
-1405.62,1712,104.135759
-1416.63,1733,130.338059
-840.97,1128,148.497759
-606.39,909,157.320848
-1078.0,1393,176.83798
-619.87,929,184.559927
-999.47,1289,202.534177
-565.22,859,210.566329
-437.39,784,225.109385
-868.33,1153,239.129954
-360.11,683,252.788905
-622.23,939,263.045559
-312.98,634,270.039693
-742.2,1039,288.003386
-205.73,536,294.042375
-357.68,705,302.073014
-746.71,1028,318.186523
-593.73,946,327.732841
-316.22,631,340.521736
-243.21,551,347.347226
-509.14,817,358.594847
-375.65,695,373.760423
-849.29,1157,386.286651
-305.74,601,399.13502
-504.57,787,410.498
-155.69,531,417.928538
-498.42,778,434.710288
-289.59,588,440.65941
-114.53,409,444.847973
-227.88,529,450.280388
-295.04,612,462.572201
-366.71,680,469.957625
-257.82,598,476.045449
-139.4,440,480.589004
-308.45,651,492.993621
-197.78,522,498.437092
-275.32,567,504.378992
-148.44,431,515.020709
-166.27,455,519.824544
-223.04,516,525.248209
-204.1,530,530.710558
-258.61,538,541.947124
-87.96,394,546.015013
-22.38,343,549.578608
-84.11,377,553.611274
-373.32,659,560.48314
-32.78,331,570.78872
-213.9,519,576.278286
-180.96,481,581.394572
-109.74,410,585.579029
-155.21,450,590.178178
-182.35,466,601.481201
-176.19,476,606.582415
-216.43,515,612.567131
-66.19,362,615.773015
-262.82,591,627.074944
-110.11,389,631.003529
-365.77,676,637.666396
8.24,330,641.173069
-24.84,359,645.015825
-163.85,458,656.851563
-574.93,871,668.249889
9.38,293,672.225932
-55.36,358,676.940156
-236.3,533,688.992597
-108.94,383,692.989544
-189.33,543,698.700773
-266.58,551,704.068431
-146.29,468,714.338044
-135.1,469,719.078339
-314.61,632,725.850613
-280.11,593,732.694917
-210.07,512,744.20781
8.92,308,747.651223
-567.48,879,756.118298
-173.36,489,766.596192
-273.53,568,773.823949
-501.4,786,784.052256
-191.45,479,790.124559
-58.03,365,799.603436
-113.05,395,803.550304
-57.81,343,807.165002
-14.74,320,810.478045
-135.87,426,814.762187
-93.03,363,824.738315
-4.65,304,827.816683
-352.05,657,834.309946
-67.03,356,837.891845
-58.99,357,841.724055
16.44,270,844.566541
-209.63,529,856.364991
-17.57,395,861.874995
-156.98,462,868.139631
-105.77,398,873.674201
-2.49,361,884.726498
-74.9,371,888.308266
-102.63,395,892.283057
-146.89,449,896.85674
-75.08,420,901.042911
55.56,244,903.422362
-60.74,362,913.2304
-168.73,483,918.487948
